name,credits,semester,timeSlot,group,classroom,details,day,startTime,endTime
SEMINARIO DE INVESTIGACIÓN,0,8,night,01 N,D4-401 / D4-303,,monday,20:00,22:00
PROFUNDIZACIÓN – VISUALIZACIÓN DE DATOS,0,9,night,01 N,D4-318 / D4-404,,monday,18:00,20:00
PROFUNDIZACIÓN – VISUALIZACIÓN DE DATOS,0,9,night,01 N,D4-318 / D4-404,,wednesday,20:00,22:00
PROFUNDIZACIÓN INTRODUCCIÓN AL BIG DATA,0,9,night,01 N,D4-318 / D4-318,,tuesday,18:00,20:00
PROFUNDIZACIÓN INTRODUCCIÓN AL BIG DATA,0,9,night,01 N,D4-318 / D4-318,,thursday,20:00,22:00
ANÁLISIS DE ALGORITMOS,0,9,night,01 N,D4-303 / D4-302,,wednesday,18:00,20:00
ANÁLISIS DE ALGORITMOS,0,9,night,01 N,D4-303 / D4-302,,monday,20:00,22:00
ADMINISTRACIÓN,0,9,night,01 N,D4-405 / D4-413,,thursday,18:00,20:00
ADMINISTRACIÓN,0,9,night,01 N,D4-405 / D4-413,,tuesday,20:00,22:00
FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,0,9,night,01 N,D4-403,,friday,18:00,20:00
PROFUNDIZACIÓN INTELIGENCIA ARTIFICIAL PARA EL ANÁLISIS DE DATOS BIOMÉTRICOS Y VISUALES,0,9,night,02 N,AULA,,monday,18:00,20:00
PROFUNDIZACIÓN INTELIGENCIA ARTIFICIAL PARA EL ANÁLISIS DE DATOS BIOMÉTRICOS Y VISUALES,0,9,night,02 N,AULA,,wednesday,20:00,22:00
PROFUNDIZACIÓN COMPUTACIÓN EN LA NUBE,0,9,night,02 N,AULA,,tuesday,18:00,20:00
PROFUNDIZACIÓN COMPUTACIÓN EN LA NUBE,0,9,night,02 N,AULA,,thursday,20:00,22:00
LEGISLACIÓN LABORAL Y PROPIEDAD INTELECTUAL,0,10,night,01 N,D4-405,,monday,18:00,20:00
INTELIGENCIA ARTIFICIAL,0,10,night,01 N,D4-317 / D4-302,,monday,20:00,22:00
INTELIGENCIA ARTIFICIAL,0,10,night,01 N,D4-317 / D4-302,,wednesday,18:00,20:00
PROFUNDIZACIÓN – DISEÑO CENTRADO EN EL USUARIO,0,10,night,01 N,AULA / D4-205,,tuesday,18:00,20:00
PROFUNDIZACIÓN – DISEÑO CENTRADO EN EL USUARIO,0,10,night,01 N,AULA / D4-205,,thursday,20:00,22:00
PROFUNDIZACIÓN – VISIÓN ARTIFICIAL,0,10,night,01 N,D4-302 / D4-303,,thursday,18:00,20:00
PROFUNDIZACIÓN – VISIÓN ARTIFICIAL,0,10,night,01 N,D4-302 / D4-303,,tuesday,20:00,22:00
SEMINARIO DE INGENIERÍA,0,10,night,01 N,D4-407 / D4-411,,wednesday,20:00,22:00
SEMINARIO DE INGENIERÍA,0,10,night,01 N,D4-407 / D4-411,,friday,18:00,20:00
ADMINISTRACIÓN DE PROYECTOS,0,10,night,01 N,D4-407,,friday,20:00,22:00
PROFUNDIZACIÓN – USABILIDAD Y EXPERIENCIA DE USUARIO,0,10,night,02 N,AULA,,tuesday,18:00,20:00
PROFUNDIZACIÓN – USABILIDAD Y EXPERIENCIA DE USUARIO,0,10,night,02 N,AULA,,thursday,20:00,22:00
PROFUNDIZACIÓN – GESTIÓN DE SERVICIOS DE T.I.,0,10,night,02 N,AULA,,tuesday,20:00,22:00
PROFUNDIZACIÓN – GESTIÓN DE SERVICIOS DE T.I.,0,10,night,02 N,AULA,,thursday,18:00,20:00
PROFUNDIZACIÓN – ARQUITECTURA ORIENTADA A MICROSERVICIOS,0,10,night,03 N,AULA,,tuesday,20:00,22:00
PROFUNDIZACIÓN – ARQUITECTURA ORIENTADA A MICROSERVICIOS,0,10,night,03 N,AULA,,thursday,18:00,20:00
TRABAJO DE GRADO,0,10,night,01 N,AULA,Pensum Antiguo (Plan 20),saturday,20:00,22:00
ÉTICA PROFESIONAL,0,11,night,01 N,D4-405,,wednesday,18:00,20:00
ÉTICA PROFESIONAL,0,11,night,01 N,D4-405,,thursday,20:00,22:00
TRABAJO DE GRADO,0,11,night,01 N,AULA,,saturday,20:00,22:00 
